FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Top_Team_Won
1.0,1.0,0.01,-1.0,-3.9,0.01,1.9,4.9,-0.01,0.5,1.1,-0.02,2.0,0.5,2.4,0.1,0.7,0.1,1.2,-0.8,1.5,15.0,True
-0.2,-0.8,0.0,0.3,2.1,-0.02,-0.4,-2.9,0.02,-4.7,-6.5,0.01,-1.3,-2.6,-3.9,1.8,0.8,0.4,1.8,2.1,-4.8,-11.0,False
0.4,1.8,-0.0,-1.0,-2.3,-0.0,1.5,4.1,-0.01,-1.0,-0.5,-0.03,2.4,2.8,5.3,3.7,1.2,1.3,2.8,3.5,-1.1,2.0,True
1.7,0.1,0.02,-1.3,-4.5,0.02,3.0,4.6,0.01,1.0,1.6,-0.01,0.9,0.3,1.2,1.5,0.1,0.1,-1.0,1.7,3.2,19.0,False
-0.4,-3.7,0.02,0.5,-0.7,0.02,-0.7,-3.1,0.01,1.4,1.5,0.01,-0.2,0.1,-0.2,-1.0,-0.2,1.0,0.0,0.5,1.1,28.0,True
1.9,2.4,0.01,-2.8,-7.3,-0.01,4.7,9.6,-0.0,0.2,-0.5,0.03,1.2,-0.6,0.5,0.6,-0.9,-0.2,0.3,0.4,1.1,-15.0,True
0.5,1.0,0.0,2.8,8.5,-0.01,-2.3,-7.5,0.03,2.4,2.6,0.02,0.2,1.5,1.7,2.1,-1.2,2.0,0.1,2.9,6.1,11.0,True
-2.1,-3.3,-0.01,0.2,2.2,-0.02,-2.3,-5.6,0.01,4.3,4.4,0.05,0.0,-0.4,-0.4,-0.1,-0.3,0.7,1.3,3.2,0.5,-5.0,False
-4.2,-1.2,-0.04,-0.9,-0.3,-0.03,-3.4,-0.9,-0.05,1.6,3.0,-0.03,1.6,-1.8,-0.2,-5.5,-1.1,-1.4,0.8,2.9,-7.8,-27.0,False
-0.3,2.3,-0.02,2.0,6.6,-0.01,-2.3,-4.3,-0.0,-2.8,-0.8,-0.09,0.4,4.1,4.4,1.1,-0.7,0.5,3.3,3.0,-1.4,-12.0,False
-2.0,1.3,-0.03,-2.3,-4.4,-0.02,0.3,5.7,-0.05,-1.7,-1.1,-0.04,1.2,-2.4,-1.2,-7.1,0.8,-3.4,-2.2,-0.8,-7.9,-10.0,True
0.5,-0.8,0.01,2.1,5.6,-0.0,-1.6,-6.5,0.03,1.3,1.5,0.01,-1.5,0.6,-1.0,-1.8,-0.8,-0.5,-0.9,-2.7,4.3,7.0,True
-0.6,-2.8,0.01,5.0,14.2,-0.0,-5.6,-16.9,0.06,2.9,4.2,-0.02,-1.2,-0.8,-2.0,2.0,1.5,-0.4,0.3,0.0,6.8,16.0,True
